Этап,Группа,Функция,Описание,Ожидаемый результат,Приоритет,Сложность
MVP,Календарь,Раздел Календарь,Создание основного раздела календаря в интерфейсе,"В общем меню добавлена кнопка ""Календарь"" с иконкой, по нажатию открывается календарь. По-умолчанию отображается вид, который был использован пользователем ранее (первичный - месяц). Это обеспечивает единую точку входа для всех календарных функций и создает привычный интерфейс для перехода от Outlook",Высокий,Низкая
MVP,Календарь,Отображение календаря,Создание трех видов отображения: месяц/неделя/день,"Реализованы способы отображения элементов (совещаний, задач из разных календарей), в виде месяц, неделя, день. Пользователь может переключать вид отображения. Внутри вида отображения может переключать периоды. Если дни - дни, недели - недели, месяц - месяцы. Это дает гибкость планирования и соответствует привычкам пользователей Outlook",Высокий,Средняя
MVP,Календарь,Карточки событий,Отображение событий в виде кликабельных карточек,"Реализованы карточки для всех видов отображения. Карточка занимает соответствующее время, в зависимости от Продолжительности элементов. Один цвет. На карточках отображены: название, продолжительность. Карточки кликабельны для быстрого доступа к деталям события",Высокий,Средняя
MVP,Календарь,Навигация по времени,Переключение между периодами в календаре,"Пользователь может легко перемещаться по временной шкале внутри выбранного вида отображения, используя интуитивные элементы управления. Навигация работает быстро и отзывчиво, обеспечивая комфортное планирование на любые временные периоды",Высокий,Низкая
MVP,Календарь,Текущее время,Отображение линии текущего времени в дневном и недельном виде,"В видах отображения: день, неделя -- пользователь видит линию, с точным текущим временем, тем самым пользователь может быстро сориентироваться сколько сейчас времени и какие ближайшие встречи предстоят. Это критично для активного использования календаря в течение рабочего дня",Средний,Низкая
MVP,Интеграция,Microsoft Exchange,Синхронизация с корпоративным календарем,"Пользователь может подключить свой календарь Microsoft Exchange (внутренний контур компании). События из Exchange отображаются в системе, создается единое календарное пространство. Это ключевая функция для перевода сотрудников из Outlook в новую систему без потери существующих событий",Высокий,Высокая
MVP,Совещания,Раздел Совещания,Создание основного раздела совещаний,"В общем меню добавлена кнопка ""Совещания"" с иконкой, по нажатию открывается раздел с совещаниями. По-умолчанию отображается вид, который был использован пользователем ранее (первичный - список). Создается центральное место для управления всеми встречами компании",Высокий,Низкая
MVP,Совещания,Создание совещания,Возможность планирования новых совещаний,"Реализована возможность создания совещания с выбором типа (стратегическое/рабочее), выбор даты и времени, описание, участников. Автоматически генерируется ссылка на видеовстречу, есть возможность выбрать переговорку, выбрать календарь, настроить напоминание о встрече. Это обеспечивает полноценное планирование встреч без использования внешних инструментов",Высокий,Средняя
MVP,Совещания,Типы совещаний,Выбор типа совещания при создании,"При создании совещания пользователь выбирает тип: стратегическое или рабочее. Типы влияют на шаблоны полей, уведомления и последующую аналитику. Это позволяет сразу правильно категоризировать встречи и формировать корректную отчетность",Средний,Низкая
MVP,Совещания,Участники совещания,Добавление и управление участниками,"Можно добавлять участников совещания из списка сотрудников компании, отправлять им приглашения, видеть статус подтверждения участия. Выявление конфликтов и наложений на календари участников. Это обеспечивает координацию встреч и избегание конфликтов расписания",Высокий,Средняя
MVP,Совещания,Список совещаний,Просмотр всех запланированных совещаний,"Пользователь видит список совещаний, возможность фильтрации, поиска по совещаниям, их полям. Список структурирован и позволяет быстро находить нужные встречи. Это центральное место для управления всеми совещаниями пользователя",Высокий,Низкая
MVP,ИИ,Формирование повестки,Базовая ИИ-помощь в создании повестки,"Администратор может формировать повестку с помощью ИИ до начала совещания. В карточке есть секция ""Повестка"", в которой администратор может написать повестку вручную или нажать кнопку ""Сформировать повестку"". Система смотрит описание и формирует базовую повестку. Это привлекает пользователей удобством и экономит время на подготовку",Высокий,Высокая
MVP,Интеграция,Связь совещание-проект,Привязка совещаний к проектам,"Добавляется кросс-связь проект-совещание, совещание-проект. При создании совещания можно выбрать связанный проект, что обеспечивает структурирование встреч по проектам и улучшает организацию работы",Средний,Низкая
MVP,Система,Настройки календарей,Управление отображением календарей,"Добавлен интерфейс для управления календарями пользователем. Внутри него пользователь может включать и отключать отображение календарей, выбирать их цвет. Это обеспечивает персонализацию календарного интерфейса под потребности каждого пользователя",Средний,Низкая
Этап 2,Календарь,Drag and Drop,Перемещение событий перетаскиванием,"Пользователь, находясь в видах отображения: день, неделя может перемещать карточку по таймлайну (с шагом 30 минут). Это обеспечивает быстрое и интуитивное управление расписанием, делая планирование максимально удобным и эффективным для активных пользователей календаря",Высокий,Высокая
Этап 2,Календарь,Изменение длительности,Изменение продолжительности событий,"Пользователь может растягивать или уменьшать продолжительность карточки на таймлайне (с шагом 30 минут). Это позволяет быстро корректировать длительность встреч прямо в календаре без открытия дополнительных форм редактирования",Высокий,Высокая
Этап 2,Совещания,Проведение встречи,Интерфейс для проведения совещания,"Реализован интерфейс проведения совещания, в котором интегрирован интерфейс видеовстречи (jitsy), информация о встрече (название, повестка), область для добавления решений, задач в процессе встречи, управление записью, возможность оставлять заметки/комментарии. Это позволяет проводить совещания полностью в системе и собирать все данные о встречах",Высокий,Высокая
Этап 2,ИИ,Транскрибация,Автоматическая расшифровка речи,"Автоматическая транскрибация и формирование протокола совещания. Запись встречи автоматически преобразуется в текстовый протокол, что экономит время участников и обеспечивает точную фиксацию обсуждений. Это ключевая функция для сбора данных о совещаниях",Высокий,Высокая
Этап 2,Совещания,Завершение совещания,Подведение итогов и создание задач,"После завершения совещания, администратор может отредактировать сформированный протокол, создать саммари на основе протокола, сформировать решения и создать задачи вручную, либо нажать сформировать с помощью ИИ и получить (саммари, решения, задачи). Это обеспечивает структурированные результаты каждой встречи и создание задач по итогам",Высокий,Средняя
Этап 2,Совещания,Шаблоны совещаний,Создание и использование шаблонов,"Возможность создавать и использовать шаблоны для типов совещаний, которые заполняют большую часть полей в карточке совещания. Это ускоряет планирование типовых встреч и обеспечивает консистентность в оформлении совещаний одного типа",Средний,Средняя
Этап 2,Совещания,Выбор переговорки,Бронирование переговорных комнат,"При планировании совещания есть возможность выбрать переговорку из списка доступных комнат. Система показывает занятость переговорок и предотвращает двойное бронирование. Это обеспечивает эффективное использование офисных помещений",Средний,Средняя
Этап 2,Совещания,Напоминания,Настройка уведомлений о совещаниях,"Настройка напоминания о встрече с выбором времени заблаговременности (от 5 минут до 2 дней). Участники получают уведомления в системе и, опционально, по email. Это снижает количество пропущенных встреч и улучшает пунктуальность",Средний,Средняя
Этап 2,Совещания,Повторяющиеся совещания,Планирование регулярных встреч,"Возможность настройки повторяемости встречи (еженедельно, ежемесячно и т.д.). Система автоматически создает серию связанных совещаний с общей историей. Это упрощает планирование регулярных встреч команды",Средний,Средняя
Этап 2,Администрирование,Календари организации,Настройка общих календарей,"Возможность создания календарей организации, которые будут по-умолчанию добавлены пользователям (с возможностью их отключения на уровне пользователя). Это позволяет централизованно управлять корпоративными событиями и праздниками",Средний,Средняя
Этап 3,Совещания,Жизненный цикл,Статусы и состояния совещаний,"Создание → Набор статусов для типа совещания, на каждом из которых карточка совещания принимает определенное состояние. Запрос информации «случилось/не случилось» с выбором, а также возможностью переноса совещания. Это обеспечивает полный контроль над процессом проведения встреч",Средний,Средняя
Этап 3,Совещания,Подача материалов,Прикрепление документов к совещанию,"После того, как совещание запланировано участники могут прикреплять материалы к данному совещанию в соответствии с требованиями, видеть прикладываемые материалы других участников. Администратор совещания получает уведомления о подаче. Это обеспечивает качественную подготовку к встречам и информированность всех участников",Средний,Средняя
Этап 3,ИИ,Расширенная повестка,Продвинутое ИИ-формирование повестки,"Система смотрит приложенные материалы участников, комментарии, описание, приложенные задачи и формирует повестку с разбивкой по времени (используя ИИ модель). После утверждения повестки администратор может сделать рассылку участникам. Это значительно улучшает качество подготовки встреч",Высокий,Высокая
Этап 3,Совещания,Контроль ознакомления,Отслеживание изучения материалов,"Когда участник ознакомился с тем или иным материалом, фиксируется факт ознакомления, есть возможность оставить комментарий по материалу. Участники видят финальную повестку, отмечают ознакомление, система фиксирует время. Администратор получает аналитику ознакомления",Средний,Средняя
Этап 3,Совещания,История совещаний,Отслеживание серии встреч,"Для повторяющихся встреч реализовано: отображение истории серии встреч, статусы задач и решений с прошлых совещаний, автоматические рекомендации для повестки. Задачи прошлых встреч доступны в карточке нового совещания. Это обеспечивает преемственность и контроль выполнения решений",Средний,Средняя
Этап 3,Совещания,Права участников,Управление полномочиями в совещании,"Для повторяющихся совещаний есть возможность задать стабильный набор участников, при этом для конкретного совещания можно добавить приглашенных участников (с правом голоса или без), имея в виду доступ к мета-функциям (оценка, комментирование, голосование)",Средний,Средняя
Этап 3,Совещания,Скачивание протокола,Экспорт документов совещания,"Любой участник может скачать протокол и результаты совещания в различных форматах. Это обеспечивает доступность информации и возможность работы с результатами встреч вне системы",Средний,Низкая
Этап 3,Администрирование,Доступ топ-менеджмента,Присоединение к любым совещаниям,"Пользователь состоящий в специальной группе, может подключиться к любому совещанию из списка совещаний организации. Это обеспечивает руководству возможность контроля и участия в ключевых встречах компании",Низкий,Низкая
Этап 4,Совещания,Оценка совещаний,Система обратной связи,"После завершения совещания, участники оценивают его (от 1 до 5, либо чуть более сложная форма). Участник может оставить комментарий. Система считает средний рейтинг, администратор видит аналитику, получает результаты оценки. Это обеспечивает обратную связь для улучшения качества встреч",Средний,Низкая
Этап 4,Совещания,Избранные совещания,Закладки для важных встреч,"Добавить возможность выбирать избранные совещания, которые получают отметку. Это позволяет быстро находить и возвращаться к ключевым встречам компании",Низкий,Низкая
Этап 4,Совещания,Инициация совещаний,Предложение новых встреч,"Пользователь может предложить совещание. Внутри карточки может быть произведена асинхронная беседа, чтобы уточнить повестку встречи, а также принять решение по необходимости организации встречи. Далее, выбранный в поле Администратор совещания может запланировать совещание. Добавление рядом с видами отображения столбца беклога инициированных совещаний",Средний,Средняя
Этап 4,Администрирование,Напоминания администратору,Контроль завершения совещаний,"Возможность настройки напоминания для администратора после проведения совещания о необходимости его завершения (заполнение протокола, решений, задач). Это обеспечивает полноту документооборота по встречам",Средний,Низкая
Этап 4,Аналитика,Данные для аналитики,Сбор метрик использования,"Формирование данных для аналитики: загрузка переговорных комнат (hours-per-day, %-utilization), загрузка сотрудников (время в совещаниях, % рабочего дня), число совещаний по типам (стратегические / рабочие), доля завершённых совещаний к созданным, средняя и суммарная длительность совещаний на пользователя, кол-во задач созданных из совещаний",Высокий,Средняя
Этап 4,Система,Уведомления,Комплексная система оповещений,"Исследование и выбор стратегии по работе с уведомлениями в контексте совещаний, решение вопроса «двойных уведомлений» при интеграции Exchange↔система. Это обеспечивает единую и удобную систему уведомлений без спама",Средний,Средняя
Этап 4,Аналитика,Дашборд занятости,Визуализация загруженности,"Дашборд занятости в каждом виде отображения в календаре. Например, пользователь видит 20% стратегические / 30% рабочие / 50% свободно. Это позволяет контролировать баланс времени и оптимизировать нагрузку сотрудников",Высокий,Средняя